buy,coupon,purch,last,training
no,3,1,11,0
no,2,2,31,1
no,5,1,7,1
no,2,1,5,1
yes,5,11,19,0
no,2,2,11,1
yes,3,3,15,1
no,1,7,3,1
no,2,2,29,1
yes,3,11,1,0
yes,4,6,1,0
no,4,2,25,1
no,4,1,33,1
no,1,11,5,1
no,1,12,5,1
no,2,1,25,1
yes,5,1,7,1
no,2,2,7,1
no,4,1,15,1
yes,4,1,23,1
yes,5,10,3,1
no,5,1,9,1
no,1,2,21,1
no,1,1,17,0
no,5,7,31,1
no,5,5,27,1
no,3,2,25,1
yes,1,7,31,1
no,1,2,5,1
no,5,2,29,1
no,3,1,5,0
no,1,1,1,0
no,4,6,9,0
no,5,1,19,0
no,1,1,29,0
no,5,2,11,1
no,3,2,1,1
yes,5,1,5,1
yes,5,2,1,1
no,5,1,1,1
yes,4,7,7,1
no,5,1,27,1
yes,4,10,5,0
no,3,3,27,1
no,2,1,11,0
no,5,2,33,1
no,3,1,1,1
yes,4,1,5,0
yes,5,2,15,1
no,2,2,29,0
no,2,1,11,1
no,4,2,27,1
no,3,1,11,1
no,4,10,5,1
no,1,11,25,1
no,3,4,3,1
no,3,1,5,0
no,3,2,19,1
yes,5,6,7,1
yes,4,2,7,0
no,5,6,19,0
no,4,1,25,1
no,1,2,7,1
yes,3,6,5,1
yes,5,7,13,1
no,1,1,27,0
no,1,1,7,1
no,5,1,31,1
no,1,9,27,0
no,2,3,25,1
no,2,11,33,0
no,2,3,27,1
no,2,1,25,1
no,5,4,21,1
no,5,2,35,0
yes,3,1,29,1
no,2,1,11,1
no,1,12,3,0
no,3,1,33,1
no,4,1,11,0
no,3,12,1,1
yes,5,5,27,1
no,2,1,13,0
yes,3,2,27,0
no,3,2,1,1
no,3,12,23,1
no,1,12,25,1
yes,2,1,1,1
no,4,2,7,0
yes,5,2,25,1
yes,3,2,17,1
no,1,11,25,1
yes,4,1,1,1
no,3,2,25,1
yes,4,4,1,1
no,3,1,1,1
no,1,4,33,0
no,1,1,5,1
no,1,1,15,0
no,2,2,15,1
no,5,1,21,1
yes,4,9,1,0
no,4,2,11,1
no,2,1,15,1
yes,4,7,11,0
yes,4,11,11,1
yes,4,12,5,1
yes,3,10,25,1
no,1,1,25,1
no,5,1,17,1
no,1,1,15,1
yes,5,5,5,1
no,2,3,11,0
no,2,2,29,1
no,4,1,27,1
no,1,2,1,1
no,1,2,11,0
no,5,1,5,0
yes,5,2,19,1
no,5,2,5,1
no,1,2,5,0
yes,3,12,11,1
no,2,1,11,1
no,4,2,5,1
no,4,1,27,1
yes,4,2,9,1
no,1,2,27,1
yes,2,2,5,1
yes,5,2,5,0
yes,5,2,11,1
no,2,2,7,1
no,1,7,27,1
no,2,1,25,0
no,4,7,15,1
no,4,5,15,1
no,3,9,3,0
yes,5,6,5,1
no,2,1,23,1
no,3,1,15,1
yes,4,12,3,1
no,5,9,15,0
no,2,1,15,0
no,4,2,5,1
no,4,2,27,1
yes,5,11,25,1
yes,5,1,1,0
yes,5,9,1,1
no,1,3,13,1
yes,2,2,7,1
no,3,1,5,0
no,1,2,25,1
no,1,2,15,0
no,1,2,5,1
no,4,12,29,1
no,1,8,29,1
no,2,1,9,1
no,2,1,11,0
no,4,1,15,1
no,5,2,33,1
yes,1,9,7,1
no,5,1,27,1
no,2,2,17,1
no,5,1,29,1
no,1,1,31,1
no,1,1,1,0
no,2,2,11,1
yes,4,12,27,0
yes,5,6,15,1
no,2,2,7,0
yes,4,1,25,1
yes,5,7,11,1
no,1,9,15,1
no,4,8,25,1
yes,4,7,1,1
yes,4,1,7,1
yes,3,1,1,1
yes,3,2,25,0
no,5,2,27,1
yes,3,8,25,0
no,4,8,29,0
no,2,1,9,1
no,2,2,21,1
yes,5,2,19,0
no,1,1,19,0
no,3,1,5,1
no,1,2,7,1
no,1,2,29,0
no,1,2,19,1
no,2,1,1,1
yes,5,9,5,1
yes,5,9,5,0
yes,5,1,11,1
no,5,2,9,1
no,3,1,7,0
no,5,1,3,1
no,1,1,3,1
yes,5,2,5,0
no,3,2,27,1
yes,4,8,1,1
yes,2,5,7,1
no,3,9,23,0
no,5,1,11,1
no,2,6,1,0
no,3,1,25,1
no,2,2,33,0
no,5,2,1,1
no,2,2,5,0
no,1,9,17,1
no,1,2,13,0
no,5,12,25,0
no,1,1,5,1
no,2,11,25,0
no,1,12,1,0
no,1,1,27,0
yes,2,11,7,0
no,1,1,3,1
no,1,1,5,1
no,2,6,21,0
no,4,1,1,0
no,1,1,1,1
yes,4,7,1,1
no,1,2,5,0
no,2,1,7,1
no,1,2,7,1
no,1,12,19,1
yes,5,7,5,0
no,1,1,9,0
yes,5,10,15,0
yes,5,1,3,1
yes,5,11,29,1
yes,4,11,27,1
no,2,10,33,1
no,4,5,13,1
no,4,3,33,0
no,2,1,29,1
no,3,2,19,1
yes,5,1,25,0
no,1,1,21,1
no,5,1,21,1
no,1,12,7,0
no,4,2,25,1
no,5,2,23,0
no,3,1,25,0
yes,3,2,7,1
yes,3,1,27,0
no,2,9,9,0
yes,5,8,23,1
no,4,1,27,1
no,2,1,11,1
yes,4,1,5,1
no,1,1,7,1
no,5,10,23,1
yes,5,10,27,1
no,4,1,25,1
yes,5,2,11,0
yes,5,7,5,1
no,1,1,33,1
yes,5,11,1,0
no,3,1,11,0
no,1,2,25,1
yes,5,3,27,1
no,3,5,29,1
no,5,6,27,1
no,4,2,29,1
no,2,1,3,1
no,2,8,5,1
no,3,2,29,1
no,5,1,25,1
no,3,1,5,0
no,1,1,25,1
no,4,2,7,1
yes,3,1,11,1
no,2,7,9,1
yes,3,10,11,0
no,3,2,13,1
no,3,2,29,0
yes,5,4,19,0
yes,5,2,11,1
no,1,1,1,1
no,1,1,19,1
no,1,1,11,1
no,1,2,29,0
no,2,11,27,0
no,1,2,25,1
yes,5,1,1,0
no,3,2,7,0
yes,3,5,5,0
yes,3,2,11,0
no,4,1,5,1
no,1,1,5,0
no,1,2,11,1
no,2,10,5,1
no,3,8,25,0
no,1,3,1,1
no,3,5,11,1
yes,1,12,17,0
no,2,2,15,0
yes,4,1,29,1
no,4,10,33,1
yes,4,2,11,0
no,2,12,5,1
no,2,1,25,1
yes,4,11,25,1
no,3,1,11,1
no,4,2,1,0
yes,5,12,5,1
no,2,1,17,0
no,2,1,15,0
no,3,2,25,1
yes,4,8,5,0
no,1,2,1,0
no,3,1,23,1
no,2,7,27,1
no,3,2,27,1
no,5,2,33,0
no,2,11,5,0
no,4,1,25,1
no,3,1,1,1
no,1,1,5,0
no,3,1,21,1
no,2,2,29,1
no,5,5,29,1
yes,1,2,5,1
yes,4,1,11,1
no,5,1,25,1
no,3,1,7,0
no,2,1,5,1
no,2,2,11,1
no,3,2,29,1
no,3,3,7,1
no,3,10,7,0
no,5,5,11,0
no,1,1,17,1
no,2,10,7,1
yes,5,10,17,0
yes,2,1,5,1
no,5,2,25,1
no,4,1,25,0
yes,3,11,1,1
yes,5,8,29,1
no,1,11,11,1
no,3,1,11,1
yes,4,2,7,0
no,1,5,7,0
no,3,1,7,1
no,5,12,25,1
no,3,1,3,1
yes,4,3,11,0
no,1,10,35,0
no,4,9,29,1
yes,4,11,9,1
no,4,1,15,1
no,4,1,29,1
no,1,1,13,1
yes,3,1,7,0
yes,3,1,5,1
yes,5,9,7,1
yes,2,2,9,1
no,4,10,13,0
no,1,1,17,1
yes,5,2,29,0
no,5,2,27,1
no,1,9,1,0
no,1,6,29,0
no,5,2,7,1
no,1,2,9,1
no,1,1,1,1
no,2,5,25,1
no,1,1,31,1
yes,3,2,11,0
no,5,2,29,0
no,2,7,35,1
yes,5,2,15,1
yes,4,12,1,1
no,3,2,7,1
no,3,1,25,1
no,3,2,11,0
yes,4,7,5,0
no,4,8,29,0
no,4,1,25,1
no,5,11,5,1
no,5,1,29,1
no,2,2,27,0
no,1,7,27,0
no,5,12,21,1
no,5,2,31,1
no,3,2,19,1
no,4,2,5,1
yes,4,2,27,0
no,1,11,11,1
no,3,6,9,1
no,3,2,25,1
no,5,3,27,0
yes,5,1,7,1
no,3,1,7,0
no,1,2,35,0
yes,5,1,1,1
yes,1,4,5,1
no,4,1,23,1
yes,5,5,11,1
no,1,1,15,0
no,3,2,11,1
no,3,11,25,0
yes,2,2,1,1
no,2,1,17,0
yes,2,12,21,0
no,1,1,29,1
no,3,1,13,1
no,4,5,5,0
no,3,1,25,1
no,1,10,1,0
no,2,2,29,1
no,4,5,25,1
no,2,11,27,1
no,2,1,11,1
yes,3,1,1,0
yes,5,5,15,1
no,3,7,19,0
no,3,1,27,0
no,1,8,11,1
yes,5,1,3,1
no,2,3,1,0
no,1,5,5,1
no,3,2,15,0
yes,3,2,11,0
no,1,2,5,1
yes,4,1,23,1
yes,4,12,23,1
no,5,2,1,1
no,2,1,7,0
no,4,5,15,1
no,1,1,27,1
no,2,2,33,0
no,2,1,9,0
no,1,6,5,1
no,2,8,29,0
no,2,1,15,1
no,1,12,27,1
yes,5,2,13,1
yes,3,2,15,1
no,3,7,1,0
no,4,2,27,0
no,1,6,29,1
no,2,1,25,1
yes,5,12,25,1
no,2,5,5,1
no,1,2,19,1
yes,2,1,5,0
no,1,11,7,1
no,1,1,29,0
yes,5,2,5,1
no,1,2,35,1
yes,5,12,1,1
yes,5,1,11,0
yes,4,8,1,1
no,2,2,11,1
no,5,9,25,0
no,2,1,5,1
no,5,1,13,1
no,2,2,25,1
yes,4,1,27,1
no,3,9,1,0
no,1,12,7,0
no,5,7,17,0
no,4,10,5,1
no,1,12,1,1
no,4,2,11,1
no,1,2,5,1
no,3,1,5,1
no,5,1,25,1
yes,5,2,11,0
no,2,2,35,1
no,2,4,9,1
no,4,1,5,0
no,1,2,13,0
yes,3,2,15,0
no,5,2,15,0
no,1,1,25,0
no,2,5,1,1
yes,3,7,5,0
no,4,5,19,1
no,4,2,29,0
yes,3,1,1,1
yes,5,1,11,1
no,1,12,23,1
no,1,1,25,1
no,3,6,23,1
no,2,6,31,1
no,3,7,19,1
yes,5,1,1,1
no,4,2,1,1
no,2,2,5,1
no,5,1,1,1
no,2,1,11,0
no,1,1,27,1
no,3,10,25,1
yes,5,1,19,1
no,2,4,7,0
yes,5,1,29,1
no,2,1,29,0
yes,3,7,15,0
no,4,1,25,0
no,2,1,31,1
yes,3,1,17,1
no,2,1,27,1
yes,5,1,11,0
no,4,1,13,1
yes,5,8,19,1
no,2,7,31,1
no,4,1,7,1
yes,5,2,11,0
yes,3,11,5,1
yes,5,7,11,1
no,1,2,1,1
no,5,1,11,0
yes,5,2,11,1
yes,5,5,33,1
no,2,1,15,1
no,2,2,3,1
no,1,2,7,1
yes,4,10,1,0
no,3,4,13,0
no,5,2,11,1
no,4,12,25,1
no,3,5,13,1
no,2,11,21,1
yes,4,4,5,0
no,4,6,29,1
no,4,2,5,1
no,5,1,11,1
no,5,2,19,1
no,5,1,1,1
no,3,2,31,1
no,2,2,29,1
yes,5,2,5,1
no,4,3,29,1
yes,2,2,3,0
no,2,1,15,1
no,3,9,27,1
no,4,8,13,1
no,3,10,11,1
no,3,2,15,1
yes,5,1,1,1
yes,4,1,11,1
yes,2,6,11,1
no,1,3,33,0
yes,4,10,11,1
yes,5,1,25,1
yes,2,2,5,1
no,4,2,31,1
no,4,6,25,1
no,2,1,27,1
no,1,1,5,1
no,2,2,15,1
no,1,5,7,1
yes,4,2,11,1
no,1,12,7,0
no,2,1,25,1
no,3,4,27,1
yes,5,9,1,1
no,4,7,3,0
no,1,4,25,1
no,3,8,29,1
no,3,1,19,1
no,2,2,33,1
yes,4,2,35,1
no,2,2,7,1
no,3,1,1,0
no,1,8,25,0
no,2,1,5,0
no,3,2,1,1
yes,4,1,25,1
yes,5,2,1,1
no,1,7,27,1
no,1,2,3,1
yes,5,10,5,0
yes,4,2,35,1
no,2,1,5,1
no,4,2,1,0
no,3,2,17,0
no,4,1,21,1
no,1,8,11,1
no,1,2,5,0
no,4,11,17,1
no,2,11,33,1
no,5,2,27,0
yes,5,2,11,0
yes,4,9,5,0
yes,5,3,29,1
no,1,1,21,1
no,4,2,1,1
no,4,7,15,1
no,5,2,25,1
yes,4,4,5,0
no,3,10,5,1
yes,5,2,25,1
no,3,1,29,1
no,2,1,5,1
no,3,2,27,1
no,5,5,5,0
yes,4,4,5,1
no,2,7,25,1
no,3,1,5,1
no,1,2,7,1
yes,5,2,5,1
yes,5,6,15,1
no,3,2,5,0
no,1,8,1,0
no,2,2,11,1
no,3,12,5,1
no,2,12,1,1
no,2,4,11,1
no,2,12,29,0
no,2,1,27,1
no,4,2,15,1
yes,3,3,7,1
no,3,3,5,0
no,2,1,27,1
no,5,2,25,1
no,5,12,33,1
no,3,2,7,1
no,1,11,1,1
no,1,6,1,0
no,5,2,33,0
no,2,7,29,0
yes,2,1,1,1
no,1,2,29,1
no,2,7,1,1
no,1,11,13,1
yes,1,3,11,1
no,5,3,5,1
yes,5,10,11,1
yes,3,1,15,0
no,1,1,27,0
yes,5,12,11,1
no,1,3,15,0
no,3,1,5,1
no,1,4,5,0
no,3,3,15,1
no,3,7,29,0
no,2,1,29,1
no,1,4,25,1
no,1,1,15,1
no,3,1,25,1
no,2,3,7,0
no,2,5,15,1
no,3,1,19,1
no,1,1,11,0
no,3,8,7,1
no,4,2,25,1
no,4,1,5,1
no,5,1,31,1
yes,2,8,5,1
yes,4,11,1,1
no,5,4,19,0
yes,4,1,1,1
no,1,5,27,0
no,4,1,31,1
no,2,8,5,0
yes,3,9,1,0
no,2,2,5,1
yes,3,2,3,0
no,4,5,7,1
no,3,2,33,1
no,5,2,5,1
no,4,10,5,1
no,4,1,7,1
yes,3,2,7,1
no,4,1,1,1
yes,3,1,1,1
no,4,2,29,0
no,2,3,1,0
no,2,4,29,1
yes,2,2,1,1
no,3,6,15,0
yes,2,3,7,1
yes,3,2,11,0
yes,3,10,21,0
no,1,3,25,1
yes,3,9,9,0
no,5,2,25,1
yes,5,3,19,0
yes,4,2,9,0
no,1,2,29,0
no,1,1,11,1
no,5,4,1,0
no,2,1,25,1
yes,4,4,5,0
no,3,1,9,0
yes,4,1,19,1
no,3,1,25,1
no,5,2,11,0
yes,5,6,29,1
no,2,2,27,1
no,1,5,25,1
no,3,7,35,1
yes,4,1,5,0
no,3,1,15,1
no,2,2,1,1
no,1,3,1,0
no,5,6,29,1
no,4,1,11,1
yes,4,12,29,1
no,2,12,17,0
no,1,2,13,1
no,1,2,7,1
no,5,8,17,1
no,1,3,11,1
yes,5,2,19,1
no,3,1,23,1
no,1,10,1,1
no,4,6,25,1
no,2,2,19,1
yes,5,2,11,1
yes,3,1,11,0
yes,4,11,1,1
yes,2,2,1,1
no,4,1,33,0
no,3,7,27,1
no,3,2,23,0
no,3,2,31,0
no,5,3,1,1
no,2,2,11,1
no,3,9,5,1
no,1,1,3,1
no,5,1,13,0
no,3,1,23,1
yes,3,5,11,1
yes,5,2,23,1
no,1,7,11,1
yes,1,2,1,1
no,2,1,5,0
no,3,1,5,1
no,1,1,1,1
yes,5,1,25,0
no,2,7,25,1
no,3,1,19,1
no,1,1,29,1
yes,3,11,27,1
no,2,1,15,1
no,3,1,17,0
no,1,8,27,1
no,2,7,11,1
yes,5,2,17,1
no,2,4,27,0
no,3,12,15,1
no,2,2,1,1
no,1,2,7,1
yes,5,3,7,0
no,5,5,15,1
no,1,2,15,0
yes,5,1,27,1
no,2,2,5,1
no,4,6,25,1
no,4,1,27,1
no,5,1,27,1
no,3,2,5,1
no,1,8,11,1
yes,5,1,1,1
no,2,8,7,1
yes,3,9,5,1
yes,4,4,7,1
no,2,8,19,1
no,3,2,1,1
no,2,1,27,1
no,2,11,19,0
no,4,2,5,0
no,2,8,21,1
yes,5,10,17,1
yes,4,1,1,0
no,5,1,29,1
no,1,1,29,0
no,2,2,31,1
no,3,1,13,1
yes,5,1,31,1
no,2,1,11,1
yes,3,5,11,1
no,4,1,29,0
no,5,2,11,1
no,3,2,25,0
no,2,1,7,1
no,5,10,5,0
no,2,2,31,1
yes,2,2,31,1
yes,5,2,25,1
no,2,1,11,1
no,2,1,25,1
no,2,2,31,1
no,2,5,23,1
no,4,11,25,1
yes,3,2,1,0
no,4,1,31,0
no,2,1,7,1
no,2,2,5,1
yes,5,2,1,1
no,5,4,25,1
no,5,1,1,0
no,4,2,25,1
yes,5,2,7,0
no,2,4,1,0
no,2,5,5,1
no,1,12,1,1
yes,5,10,27,0
yes,5,1,15,1
no,1,1,29,1
yes,1,1,5,1
no,2,8,5,1
no,4,4,25,0
no,1,2,7,0
no,1,1,19,1
no,4,1,27,1
no,3,3,15,1
no,3,2,19,1
no,1,1,35,0
no,5,12,25,1
no,1,2,11,1
yes,2,1,7,1
yes,5,3,15,0
no,2,6,11,1
yes,4,10,25,1
no,3,3,11,1
yes,4,2,1,0
no,3,7,1,1
yes,3,2,25,0
no,1,10,29,1
no,2,1,11,1
no,4,8,11,0
no,4,2,11,1
no,4,12,33,1
no,1,3,13,1
no,3,10,7,1
no,3,1,27,1
no,1,2,15,1
no,5,1,11,1
no,4,1,21,1
no,3,5,1,0
no,3,2,1,1
yes,5,7,7,0
no,2,1,27,0
no,1,11,27,0
yes,5,2,25,1
yes,5,12,27,1
no,4,2,5,1
no,4,12,25,1
no,3,2,29,1
no,5,2,25,0
yes,4,1,5,1
no,1,4,15,0
yes,3,12,1,0
yes,5,2,23,1
yes,3,5,3,0
no,2,7,27,0
no,2,8,1,1
yes,2,3,1,1
no,4,1,7,1
yes,3,2,9,1
yes,5,6,5,1
no,5,4,15,0
yes,4,7,1,1
no,1,3,21,1
no,4,1,25,1
no,2,5,15,1
no,1,1,27,0
no,4,7,33,0
no,5,1,29,0
no,2,6,15,1
no,4,7,25,0
yes,2,1,5,1
no,4,11,11,1
no,4,9,29,0
yes,3,12,1,0
yes,4,11,17,1
no,4,2,11,0
no,4,1,29,0
yes,5,12,31,0
no,1,2,25,0
no,3,2,25,0
no,2,7,11,0
no,1,1,11,1
no,1,7,17,0
no,1,2,25,1
no,1,10,25,1
yes,3,6,11,1
yes,4,2,29,0
no,1,1,1,1
no,1,1,1,1
no,4,1,25,0
yes,5,9,7,1
no,1,9,29,0
no,2,10,11,0
no,2,11,1,0
no,2,1,29,1
yes,1,5,5,1
no,1,5,29,1
yes,1,5,1,1
no,5,2,11,0
yes,4,1,13,0
no,4,2,19,0
no,4,1,27,0
yes,3,4,31,1
no,1,1,31,0
yes,5,3,15,0
no,3,2,29,1
no,2,1,5,1
no,1,2,25,1
no,2,1,1,1
no,4,5,7,0
no,2,2,1,0
no,1,1,25,1
no,2,1,1,0
yes,3,1,1,1
yes,3,1,5,0
no,1,2,5,1
no,1,8,7,1
no,3,12,11,1
no,4,2,33,1
yes,2,12,9,1
no,1,10,29,1
no,4,1,11,1
no,3,1,5,0
no,3,2,33,0
no,1,6,1,1
no,3,2,19,1
no,2,6,17,0
no,4,3,29,1
yes,3,2,11,0
no,5,1,27,0
yes,4,1,1,1
no,4,2,25,1
no,1,2,27,0
yes,3,11,5,0
no,3,12,1,1
no,1,10,13,1
no,2,7,15,0
yes,3,4,25,1
no,4,2,29,1
no,3,2,25,1
no,1,2,27,1
yes,4,2,7,0
yes,5,1,1,0
no,3,1,5,1
no,2,2,11,1
no,3,2,1,1
no,4,2,19,1
no,1,2,19,1
yes,4,5,27,1
yes,5,2,15,1
yes,5,11,19,0
yes,3,2,5,0
no,4,2,3,1
no,4,3,25,0
no,2,1,5,0
no,3,4,33,0
no,1,1,25,0
no,3,2,5,0
no,2,2,7,1
yes,2,2,13,1
no,1,11,5,1
no,1,1,33,0
no,4,3,35,0
no,1,1,1,1
yes,5,1,1,0
no,2,6,19,1
no,1,3,15,0
no,4,1,1,1
yes,5,12,11,1
no,2,2,1,1
yes,5,6,11,0
yes,2,1,11,0
yes,5,9,11,0
no,2,1,29,1
no,3,1,25,1
no,1,7,23,1
yes,4,2,15,1
no,2,4,33,1
no,1,10,35,0
no,1,2,11,0
yes,4,9,11,1
yes,4,11,15,0
